Employee ID,Tenure (Months),eNPS Score,Feedback,Tenure_Years,Dept_finance,Dept_hr,Dept_it,Dept_marketing,Dept_sales,Feedback_Cleaned
28,48,8,"""Good benefits, but could use more flexible work arrangements.""",4,FALSE,TRUE,FALSE,FALSE,FALSE,"""good benefits, but could use more flexible work arrangements."""
29,30,5,"""Feeling micromanaged by my manager.""",2.5,TRUE,FALSE,FALSE,FALSE,FALSE,"""feeling micromanaged by my manager."""
30,12,9,"""Supportive team environment, opportunities for growth.""",1,FALSE,FALSE,TRUE,FALSE,FALSE,"""supportive team environment, opportunities for growth."""
31,24,6,"""Not happy with the company's direction.""",2,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with the company's direction."""
32,36,10,"""Love the company culture, supportive colleagues.""",3,FALSE,FALSE,FALSE,FALSE,FALSE,"""love the company culture, supportive colleagues."""
33,42,7,"""Would like more recognition for my work.""",3.5,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like more recognition for my work."""
34,18,8,"""Enjoy my colleagues, but feel underpaid.""",1.5,FALSE,TRUE,FALSE,FALSE,FALSE,"""enjoy my colleagues, but feel underpaid."""
35,6,5,"""Lack of clear career progression paths.""",0.5,TRUE,FALSE,FALSE,FALSE,FALSE,"""lack of clear career progression paths."""
36,30,9,"""Great work-life balance, enjoy the challenges.""",2.5,FALSE,FALSE,TRUE,FALSE,FALSE,"""great work-life balance, enjoy the challenges."""
37,12,6,"""Not happy with my current compensation.""",1,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with my current compensation."""
38,24,10,"""Exciting projects, learning new things every day.""",2,FALSE,FALSE,FALSE,FALSE,FALSE,"""exciting projects, learning new things every day."""
39,36,7,"""Would like to have more autonomy in my role.""",3,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like to have more autonomy in my role."""
40,48,8,"""Good benefits, but could use more flexible work arrangements.""",4,FALSE,TRUE,FALSE,FALSE,FALSE,"""good benefits, but could use more flexible work arrangements."""
41,18,5,"""Feeling micromanaged by my manager.""",1.5,TRUE,FALSE,FALSE,FALSE,FALSE,"""feeling micromanaged by my manager."""
42,6,9,"""Supportive team environment, opportunities for growth.""",0.5,FALSE,FALSE,TRUE,FALSE,FALSE,"""supportive team environment, opportunities for growth."""
43,30,6,"""Not happy with the company's direction.""",2.5,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with the company's direction."""
44,12,10,"""Love the company culture, supportive colleagues.""",1,FALSE,FALSE,FALSE,FALSE,FALSE,"""love the company culture, supportive colleagues."""
45,24,7,"""Would like more recognition for my work.""",2,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like more recognition for my work."""
46,36,8,"""Enjoy my colleagues, but feel underpaid.""",3,FALSE,TRUE,FALSE,FALSE,FALSE,"""enjoy my colleagues, but feel underpaid."""
47,48,5,"""Lack of clear career progression paths.""",4,TRUE,FALSE,FALSE,FALSE,FALSE,"""lack of clear career progression paths."""
48,18,9,"""Great work-life balance, enjoy the challenges.""",1.5,FALSE,FALSE,TRUE,FALSE,FALSE,"""great work-life balance, enjoy the challenges."""
49,6,6,"""Not happy with my current compensation.""",0.5,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with my current compensation."""
50,30,10,"""Exciting projects, learning new things every day.""",2.5,FALSE,FALSE,FALSE,FALSE,FALSE,"""exciting projects, learning new things every day."""
51,12,7,"""Would like to have more autonomy in my role.""",1,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like to have more autonomy in my role."""
52,24,8,"""Good benefits, but could use more flexible work arrangements.""",2,FALSE,TRUE,FALSE,FALSE,FALSE,"""good benefits, but could use more flexible work arrangements."""
53,36,5,"""Feeling micromanaged by my manager.""",3,TRUE,FALSE,FALSE,FALSE,FALSE,"""feeling micromanaged by my manager."""
54,48,9,"""Supportive team environment, opportunities for growth.""",4,FALSE,FALSE,TRUE,FALSE,FALSE,"""supportive team environment, opportunities for growth."""
55,18,6,"""Not happy with the company's direction.""",1.5,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with the company's direction."""
56,6,10,"""Love the company culture, supportive colleagues.""",0.5,FALSE,FALSE,FALSE,FALSE,FALSE,"""love the company culture, supportive colleagues."""
57,30,7,"""Would like more recognition for my work.""",2.5,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like more recognition for my work."""
58,12,8,"""Enjoy my colleagues, but feel underpaid.""",1,FALSE,TRUE,FALSE,FALSE,FALSE,"""enjoy my colleagues, but feel underpaid."""
59,24,5,"""Lack of clear career progression paths.""",2,TRUE,FALSE,FALSE,FALSE,FALSE,"""lack of clear career progression paths."""
60,36,9,"""Great work-life balance, enjoy the challenges.""",3,FALSE,FALSE,TRUE,FALSE,FALSE,"""great work-life balance, enjoy the challenges."""
61,48,6,"""Not happy with my current compensation.""",4,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with my current compensation."""
62,18,10,"""Exciting projects, learning new things every day.""",1.5,FALSE,FALSE,FALSE,FALSE,FALSE,"""exciting projects, learning new things every day."""
63,6,7,"""Would like to have more autonomy in my role.""",0.5,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like to have more autonomy in my role."""
64,30,8,"""Good benefits, but could use more flexible work arrangements.""",2.5,FALSE,TRUE,FALSE,FALSE,FALSE,"""good benefits, but could use more flexible work arrangements."""
65,12,5,"""Feeling micromanaged by my manager.""",1,TRUE,FALSE,FALSE,FALSE,FALSE,"""feeling micromanaged by my manager."""
66,24,9,"""Supportive team environment, opportunities for growth.""",2,FALSE,FALSE,TRUE,FALSE,FALSE,"""supportive team environment, opportunities for growth."""
67,36,6,"""Not happy with the company's direction.""",3,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with the company's direction."""
68,48,10,"""Love the company culture, supportive colleagues.""",4,FALSE,FALSE,FALSE,FALSE,FALSE,"""love the company culture, supportive colleagues."""
69,18,7,"""Would like more recognition for my work.""",1.5,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like more recognition for my work."""
70,6,8,"""Enjoy my colleagues, but feel underpaid.""",0.5,FALSE,TRUE,FALSE,FALSE,FALSE,"""enjoy my colleagues, but feel underpaid."""
71,30,5,"""Lack of clear career progression paths.""",2.5,TRUE,FALSE,FALSE,FALSE,FALSE,"""lack of clear career progression paths."""
72,12,9,"""Great work-life balance, enjoy the challenges.""",1,FALSE,FALSE,TRUE,FALSE,FALSE,"""great work-life balance, enjoy the challenges."""
73,24,6,"""Not happy with my current compensation.""",2,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with my current compensation."""
74,36,10,"""Exciting projects, learning new things every day.""",3,FALSE,FALSE,FALSE,FALSE,FALSE,"""exciting projects, learning new things every day."""
75,48,7,"""Would like to have more autonomy in my role.""",4,FALSE,FALSE,FALSE,FALSE,TRUE,"""would like to have more autonomy in my role."""
76,18,8,"""Good benefits, but could use more flexible work arrangements.""",1.5,FALSE,TRUE,FALSE,FALSE,FALSE,"""good benefits, but could use more flexible work arrangements."""
77,6,5,"""Feeling micromanaged by my manager.""",0.5,TRUE,FALSE,FALSE,FALSE,FALSE,"""feeling micromanaged by my manager."""
78,30,9,"""Supportive team environment, opportunities for growth.""",2.5,FALSE,FALSE,TRUE,FALSE,FALSE,"""supportive team environment, opportunities for growth."""
79,12,6,"""Not happy with the company's direction.""",1,FALSE,FALSE,FALSE,TRUE,FALSE,"""not happy with the company's direction."""
80,0,,No Feedback,0,FALSE,FALSE,FALSE,FALSE,FALSE,no feedback
